Datetime,Water Level (m)
2023-05-17 18:00:00,-0.54755867
2023-05-17 19:00:00,-0.84007007
2023-05-17 20:00:00,-0.8747333
2023-05-17 21:00:00,-0.73566353
2023-05-17 22:00:00,-0.4037293
2023-05-17 23:00:00,0.04159198
2023-05-18 00:00:00,0.5140091
2023-05-18 01:00:00,0.8536749
2023-05-18 02:00:00,0.98095393
2023-05-18 03:00:00,0.92675114
2023-05-18 04:00:00,0.68527406
2023-05-18 05:00:00,0.25590977
2023-05-18 06:00:00,-0.18907906
2023-05-18 07:00:00,-0.5129531
2023-05-18 08:00:00,-0.70843154
2023-05-18 09:00:00,-0.692044
2023-05-18 10:00:00,-0.4557429
2023-05-18 11:00:00,-0.17400661
2023-05-18 12:00:00,0.13194586
2023-05-18 13:00:00,0.60623544
2023-05-18 14:00:00,0.847777
2023-05-18 15:00:00,0.6919058
2023-05-18 16:00:00,0.4813238
2023-05-18 17:00:00,0.09103461
2023-05-18 18:00:00,-0.40917918
2023-05-18 19:00:00,-0.74794203
2023-05-18 20:00:00,-0.89852613
2023-05-18 21:00:00,-0.87808174
2023-05-18 22:00:00,-0.6465448
2023-05-18 23:00:00,-0.22772026
2023-05-19 00:00:00,0.2033844
2023-05-19 01:00:00,0.67978495
2023-05-19 02:00:00,0.9570757
2023-05-19 03:00:00,1.0272037
2023-05-19 04:00:00,0.921414
2023-05-19 05:00:00,0.5918038
2023-05-19 06:00:00,0.1127105
2023-05-19 07:00:00,-0.32213134
2023-05-19 08:00:00,-0.62917376
2023-05-19 09:00:00,-0.7470474
2023-05-19 10:00:00,-0.6324397
2023-05-19 11:00:00,-0.3411078
2023-05-19 12:00:00,-0.0055786897
2023-05-19 13:00:00,0.42083555
2023-05-19 14:00:00,0.67091817
2023-05-19 15:00:00,0.7461581
2023-05-19 16:00:00,0.65925944
2023-05-19 17:00:00,0.3570758
2023-05-19 18:00:00,-0.09739606
2023-05-19 19:00:00,-0.5454767
2023-05-19 20:00:00,-0.8365108
2023-05-19 21:00:00,-0.92582566
2023-05-19 22:00:00,-0.8098619
2023-05-19 23:00:00,-0.47743413
2023-05-20 00:00:00,-0.048315346
2023-05-20 01:00:00,0.42318314
2023-05-20 02:00:00,0.8271278
2023-05-20 03:00:00,1.0210283
2023-05-20 04:00:00,1.0045311
2023-05-20 05:00:00,0.82473683
2023-05-20 06:00:00,0.4220072
2023-05-20 07:00:00,-0.07078321
2023-05-20 08:00:00,-0.45603493
2023-05-20 09:00:00,-0.69015056
2023-05-20 10:00:00,-0.756382
2023-05-20 11:00:00,-0.5909623
2023-05-20 12:00:00,-0.26062948
2023-05-20 13:00:00,0.058804728
2023-05-20 14:00:00,0.41055253
2023-05-20 15:00:00,0.6412806
2023-05-20 16:00:00,0.6336731
2023-05-20 17:00:00,0.43310517
2023-05-20 18:00:00,0.09804466
2023-05-20 19:00:00,-0.32482898
2023-05-20 20:00:00,-0.6894327
2023-05-20 21:00:00,-0.8852054
2023-05-20 22:00:00,-0.8705327
2023-05-20 23:00:00,-0.6910299
2023-05-21 00:00:00,-0.33833027
2023-05-21 01:00:00,0.11282129
2023-05-21 02:00:00,0.58367085
2023-05-21 03:00:00,0.8768242
2023-05-21 04:00:00,0.98741484
2023-05-21 05:00:00,0.91707885
2023-05-21 06:00:00,0.63749826
2023-05-21 07:00:00,0.19987509
2023-05-21 08:00:00,-0.2321129
2023-05-21 09:00:00,-0.54863936
2023-05-21 10:00:00,-0.7214333
2023-05-21 11:00:00,-0.6633187
2023-05-21 12:00:00,-0.4490332
2023-05-21 13:00:00,-0.13522388
2023-05-21 14:00:00,0.20874733
2023-05-21 15:00:00,0.49618477
2023-05-21 16:00:00,0.5890311
2023-05-21 17:00:00,0.5109881
2023-05-21 18:00:00,0.281497
2023-05-21 19:00:00,-0.07525918
2023-05-21 20:00:00,-0.47606412
2023-05-21 21:00:00,-0.75077915
2023-05-21 22:00:00,-0.84105456
2023-05-21 23:00:00,-0.77560353
2023-05-22 00:00:00,-0.5227125
2023-05-22 01:00:00,-0.13650697
2023-05-22 02:00:00,0.27510175
2023-05-22 03:00:00,0.692242
2023-05-22 04:00:00,0.9074466
2023-05-22 05:00:00,0.9034034
2023-05-22 06:00:00,0.76840407
2023-05-22 07:00:00,0.4263826
2023-05-22 08:00:00,0.0065533877
2023-05-22 09:00:00,-0.34145448
2023-05-22 10:00:00,-0.5898467
2023-05-22 11:00:00,-0.6801935
2023-05-22 12:00:00,-0.542688
2023-05-22 13:00:00,-0.31054303
2023-05-22 14:00:00,-0.028790595
2023-05-22 15:00:00,0.3076772
2023-05-22 16:00:00,0.4869588
2023-05-22 17:00:00,0.49969208
2023-05-22 18:00:00,0.35795677
2023-05-22 19:00:00,0.16299807
2023-05-22 20:00:00,-0.25372118
2023-05-22 21:00:00,-0.58027726
2023-05-22 22:00:00,-0.7199106
2023-05-22 23:00:00,-0.760543
2023-05-23 00:00:00,-0.6488261
2023-05-23 01:00:00,-0.31908545
2023-05-23 02:00:00,0.038862824
2023-05-23 03:00:00,0.45077336
2023-05-23 04:00:00,0.72693473
2023-05-23 05:00:00,0.85063505
2023-05-23 06:00:00,0.80614
2023-05-23 07:00:00,0.598743
2023-05-23 08:00:00,0.2650444
2023-05-23 09:00:00,-0.106135264
2023-05-23 10:00:00,-0.38301125
2023-05-23 11:00:00,-0.5388568
2023-05-23 12:00:00,-0.55504304
2023-05-23 13:00:00,-0.4246019
2023-05-23 14:00:00,-0.18226074
2023-05-23 15:00:00,0.11215586
2023-05-23 16:00:00,0.34384266
2023-05-23 17:00:00,0.41956434
2023-05-23 18:00:00,0.3771398
